Nama Pennguna,Teks Ulasan,Rating,Waktu Ulasan,casefolding,cleaning,stopword_removal,tokenizing,stemming
Tri Bowo,"aplikasi bobrok, masa udah di apdet masih aja ga bisa main chek in di A+ buat dapetin reward nya. apa udah mau bangkrut nih apk. kaga guna n nyesel donlot nya. bakalan An instal ini sih. udah email pun malah ga ada penyelesaian atau solusinya. buat yang sama mengalamin hal serupa. ayo silahkan aninstal apk bya biar kapok n bangkrut 0enilik dan pengembangnya..!!!!😡😡😡😡",1,7/5/2025 11:27,"aplikasi bobrok, masa udah di apdet masih aja ga bisa main chek in di a+ buat dapetin reward nya. apa udah mau bangkrut nih apk. kaga guna n nyesel donlot nya. bakalan an instal ini sih. udah email pun malah ga ada penyelesaian atau solusinya. buat yang sama mengalamin hal serupa. ayo silahkan aninstal apk bya biar kapok n bangkrut 0enilik dan pengembangnya..!!!!😡😡😡😡",aplikasi bobrok masa udah di apdet masih aja ga bisa main chek in di a buat dapetin reward nya apa udah mau bangkrut nih apk kaga guna n nyesel donlot nya bakalan an instal ini sih udah email pun malah ga ada penyelesaian atau solusinya buat yang sama mengalamin hal serupa ayo silahkan aninstal apk bya biar kapok n bangkrut enilik dan pengembangnya,aplikasi bobrok masa udah apdet aja ga main chek in a buat dapetin reward nya apa udah mau bangkrut nih apk kaga n nyesel donlot nya bakalan an instal sih udah email malah ga penyelesaian solusinya buat sama mengalamin serupa ayo silahkan aninstal apk bya biar kapok n bangkrut enilik pengembangnya,"['aplikasi', 'bobrok', 'masa', 'udah', 'apdet', 'aja', 'ga', 'main', 'chek', 'in', 'a', 'buat', 'dapetin', 'reward', 'nya', 'apa', 'udah', 'mau', 'bangkrut', 'nih', 'apk', 'kaga', 'n', 'nyesel', 'donlot', 'nya', 'bakalan', 'an', 'instal', 'sih', 'udah', 'email', 'malah', 'ga', 'penyelesaian', 'solusinya', 'buat', 'sama', 'mengalamin', 'serupa', 'ayo', 'silahkan', 'aninstal', 'apk', 'bya', 'biar', 'kapok', 'n', 'bangkrut', 'enilik', 'pengembangnya']",aplikasi bobrok masa udah apdet aja ga main chek in a buat dapetin reward nya apa udah mau bangkrut nih apk kaga n nyesel donlot nya bakal an instal sih udah email malah ga selesai solusi buat sama alamin rupa ayo silah aninstal apk bya biar kapok n bangkrut enilik kembang
Santana Taufik,apk sangat bagus mudah di pahami,5,7/5/2025 11:26,apk sangat bagus mudah di pahami,apk sangat bagus mudah di pahami,apk sangat bagus mudah pahami,"['apk', 'sangat', 'bagus', 'mudah', 'pahami']",apk sangat bagus mudah paham
Nurhadineew,hati hati aja masa tranfer ka bank lain dananya ga masuk pdhl udah kepotongg,1,7/5/2025 11:26,hati hati aja masa tranfer ka bank lain dananya ga masuk pdhl udah kepotongg,hati hati aja masa tranfer ka bank lain dananya ga masuk pdhl udah kepotongg,hati hati aja masa tranfer ka bank dananya ga masuk pdhl udah kepotongg,"['hati', 'hati', 'aja', 'masa', 'tranfer', 'ka', 'bank', 'dananya', 'ga', 'masuk', 'pdhl', 'udah', 'kepotongg']",hati hati aja masa tranfer ka bank dana ga masuk pdhl udah kepotongg
Abah Edi rs,sangat bagus sekali.,5,7/5/2025 11:23,sangat bagus sekali.,sangat bagus sekali,sangat bagus sekali,"['sangat', 'bagus', 'sekali']",sangat bagus sekali
Abdullah Abdul,senang menggunakan DANA tanpa ribet makasih DANA,5,7/5/2025 11:22,senang menggunakan dana tanpa ribet makasih dana,senang menggunakan dana tanpa ribet makasih dana,senang menggunakan dana ribet makasih dana,"['senang', 'menggunakan', 'dana', 'ribet', 'makasih', 'dana']",senang guna dana ribet makasih dana
Budiyana Budi,"untuk bertransaksi sangat mudah dan cepat di semua agen ,saya sangat terbantu sekali,maksih utk Dana,semoga tetep Amanah",5,7/5/2025 11:17,"untuk bertransaksi sangat mudah dan cepat di semua agen ,saya sangat terbantu sekali,maksih utk dana,semoga tetep amanah",untuk bertransaksi sangat mudah dan cepat di semua agen saya sangat terbantu sekalimaksih utk danasemoga tetep amanah,bertransaksi sangat mudah cepat semua agen sangat terbantu sekalimaksih utk danasemoga tetep amanah,"['bertransaksi', 'sangat', 'mudah', 'cepat', 'semua', 'agen', 'sangat', 'terbantu', 'sekalimaksih', 'utk', 'danasemoga', 'tetep', 'amanah']",transaksi sangat mudah cepat semua agen sangat bantu sekalimaksih utk danasemoga tetep amanah
Dede Hilman,kalau pengen ada dana cicil gimana yah supaya muncul gitu,2,7/5/2025 11:16,kalau pengen ada dana cicil gimana yah supaya muncul gitu,kalau pengen ada dana cicil gimana yah supaya muncul gitu,kalau pengen dana cicil gimana yah muncul gitu,"['kalau', 'pengen', 'dana', 'cicil', 'gimana', 'yah', 'muncul', 'gitu']",kalau ken dana cicil gimana yah muncul gitu
Camila Bere,sumpah uang saya di raip habis,5,7/5/2025 11:14,sumpah uang saya di raip habis,sumpah uang saya di raip habis,sumpah uang raip habis,"['sumpah', 'uang', 'raip', 'habis']",sumpah uang raip habis
Fitri Leani,sangat mengecewakan masa saldo dana saya ditarik 500 ribu padahal saya gk pernah transaksi apa apa pokoknya menjengkelkan,1,7/5/2025 11:10,sangat mengecewakan masa saldo dana saya ditarik 500 ribu padahal saya gk pernah transaksi apa apa pokoknya menjengkelkan,sangat mengecewakan masa saldo dana saya ditarik ribu padahal saya gk pernah transaksi apa apa pokoknya menjengkelkan,sangat mengecewakan masa saldo dana ditarik ribu padahal gk pernah transaksi apa apa pokoknya menjengkelkan,"['sangat', 'mengecewakan', 'masa', 'saldo', 'dana', 'ditarik', 'ribu', 'padahal', 'gk', 'pernah', 'transaksi', 'apa', 'apa', 'pokoknya', 'menjengkelkan']",sangat kecewa masa saldo dana tarik ribu padahal gk pernah transaksi apa apa pokok jengkel
Iwandi Iwan,saya pakai aplikasih dana sangat memuaskan,5,7/5/2025 11:01,saya pakai aplikasih dana sangat memuaskan,saya pakai aplikasih dana sangat memuaskan,pakai aplikasih dana sangat memuaskan,"['pakai', 'aplikasih', 'dana', 'sangat', 'memuaskan']",pakai aplikasih dana sangat muas
SERVER,"mantap, dan masih jadi andalan buat trx",5,7/5/2025 11:00,"mantap, dan masih jadi andalan buat trx",mantap dan masih jadi andalan buat trx,mantap jadi andalan buat trx,"['mantap', 'jadi', 'andalan', 'buat', 'trx']",mantap jadi andal buat trx
Xynyaaa Stay mlggg,masak uangku dari 68 jadi 32 padahal gak dipake apa apa,1,7/5/2025 10:58,masak uangku dari 68 jadi 32 padahal gak dipake apa apa,masak uangku dari jadi padahal gak dipake apa apa,masak uangku jadi padahal gak dipake apa apa,"['masak', 'uangku', 'jadi', 'padahal', 'gak', 'dipake', 'apa', 'apa']",masak uang jadi padahal gak dipake apa apa
Ajat Sudrajat,sangat membantu untuk semua transaksi dan pengaduan,5,7/5/2025 10:57,sangat membantu untuk semua transaksi dan pengaduan,sangat membantu untuk semua transaksi dan pengaduan,sangat membantu semua transaksi pengaduan,"['sangat', 'membantu', 'semua', 'transaksi', 'pengaduan']",sangat bantu semua transaksi adu
Syahri Rammadan,sangat bagut terimakasih,5,7/5/2025 10:57,sangat bagut terimakasih,sangat bagut terimakasih,sangat bagut terimakasih,"['sangat', 'bagut', 'terimakasih']",sangat bagut terimakasih
Jordi Shuu Jordi,"memang bagus sih aplikasi ini, tpi yg buat aq kecewa pda saat mau melakukan pembelian, contohnya, kya mau isi pulsa dan token listrik lama kebuka, padahal dulu cepat terbuka untuk pembelian pulsa dan token listrik, sekrang susah banget kebuka😔😔😔 ckup 2 bintang aj klau udh bagus di perbaiki kasaih full bintang , cuma itu saja keluhannya",2,7/5/2025 10:54,"memang bagus sih aplikasi ini, tpi yg buat aq kecewa pda saat mau melakukan pembelian, contohnya, kya mau isi pulsa dan token listrik lama kebuka, padahal dulu cepat terbuka untuk pembelian pulsa dan token listrik, sekrang susah banget kebuka😔😔😔 ckup 2 bintang aj klau udh bagus di perbaiki kasaih full bintang , cuma itu saja keluhannya",memang bagus sih aplikasi ini tpi yg buat aq kecewa pda saat mau melakukan pembelian contohnya kya mau isi pulsa dan token listrik lama kebuka padahal dulu cepat terbuka untuk pembelian pulsa dan token listrik sekrang susah banget kebuka ckup bintang aj klau udh bagus di perbaiki kasaih full bintang cuma itu saja keluhannya,memang bagus sih aplikasi tpi yg buat aq kecewa pda mau melakukan pembelian contohnya kya mau isi pulsa token listrik lama kebuka padahal dulu cepat terbuka pembelian pulsa token listrik sekrang susah banget kebuka ckup bintang aj klau udh bagus perbaiki kasaih full bintang cuma keluhannya,"['memang', 'bagus', 'sih', 'aplikasi', 'tpi', 'yg', 'buat', 'aq', 'kecewa', 'pda', 'mau', 'melakukan', 'pembelian', 'contohnya', 'kya', 'mau', 'isi', 'pulsa', 'token', 'listrik', 'lama', 'kebuka', 'padahal', 'dulu', 'cepat', 'terbuka', 'pembelian', 'pulsa', 'token', 'listrik', 'sekrang', 'susah', 'banget', 'kebuka', 'ckup', 'bintang', 'aj', 'klau', 'udh', 'bagus', 'perbaiki', 'kasaih', 'full', 'bintang', 'cuma', 'keluhannya']",memang bagus sih aplikasi tpi yg buat aq kecewa pda mau laku beli contoh kya mau isi pulsa token listrik lama buka padahal dulu cepat buka beli pulsa token listrik sekrang susah banget buka ckup bintang aj klau udh bagus baik kasaih full bintang cuma keluh
wayong 1919,jaringan kadang lalod,4,7/5/2025 10:52,jaringan kadang lalod,jaringan kadang lalod,jaringan kadang lalod,"['jaringan', 'kadang', 'lalod']",jaring kadang lalod
Fandi Ade cahyono,apk mantap ini 👍👍👍,5,7/5/2025 10:51,apk mantap ini 👍👍👍,apk mantap ini,apk mantap,"['apk', 'mantap']",apk mantap
Hasan Muhammad,"alhamdulillah, semuanya lancar min, dalam transaksi ke mana pun. cuma akhir akhir ini kok agak ngeleg proses transaksinya, gak selancar dulu. semenjak aplikasi update mulu. ada solusi enggak biar gak ngeleg apk nya min. lainnya lancar, jaringan aman, cuma agak terganggu aja kalau transaksi delay.",5,7/5/2025 10:51,"alhamdulillah, semuanya lancar min, dalam transaksi ke mana pun. cuma akhir akhir ini kok agak ngeleg proses transaksinya, gak selancar dulu. semenjak aplikasi update mulu. ada solusi enggak biar gak ngeleg apk nya min. lainnya lancar, jaringan aman, cuma agak terganggu aja kalau transaksi delay.",alhamdulillah semuanya lancar min dalam transaksi ke mana pun cuma akhir akhir ini kok agak ngeleg proses transaksinya gak selancar dulu semenjak aplikasi update mulu ada solusi enggak biar gak ngeleg apk nya min lainnya lancar jaringan aman cuma agak terganggu aja kalau transaksi delay,alhamdulillah semuanya lancar min transaksi mana cuma akhir akhir kok ngeleg proses transaksinya gak selancar dulu semenjak aplikasi update mulu solusi enggak biar gak ngeleg apk nya min lainnya lancar jaringan aman cuma terganggu aja kalau transaksi delay,"['alhamdulillah', 'semuanya', 'lancar', 'min', 'transaksi', 'mana', 'cuma', 'akhir', 'akhir', 'kok', 'ngeleg', 'proses', 'transaksinya', 'gak', 'selancar', 'dulu', 'semenjak', 'aplikasi', 'update', 'mulu', 'solusi', 'enggak', 'biar', 'gak', 'ngeleg', 'apk', 'nya', 'min', 'lainnya', 'lancar', 'jaringan', 'aman', 'cuma', 'terganggu', 'aja', 'kalau', 'transaksi', 'delay']",alhamdulillah semua lancar min transaksi mana cuma akhir akhir kok ngeleg proses transaksi gak selancar dulu semenjak aplikasi update mulu solusi enggak biar gak ngeleg apk nya min lain lancar jaring aman cuma ganggu aja kalau transaksi delay
GENGSTER CUPU,menarik 7wang,5,7/5/2025 10:50,menarik 7wang,menarik wang,menarik wang,"['menarik', 'wang']",tarik wang
Ila La,tolong bantuannya kenapa akun dana saya tidak terbaca di mesin atm bri,1,7/5/2025 10:48,tolong bantuannya kenapa akun dana saya tidak terbaca di mesin atm bri,tolong bantuannya kenapa akun dana saya tidak terbaca di mesin atm bri,bantuannya akun dana terbaca mesin atm bri,"['bantuannya', 'akun', 'dana', 'terbaca', 'mesin', 'atm', 'bri']",bantu akun dana baca mesin atm bri
Fhiank Drx,pelayanan sangat buruk TDK bsa menyelesaikan masalah,5,7/5/2025 10:46,pelayanan sangat buruk tdk bsa menyelesaikan masalah,pelayanan sangat buruk tdk bsa menyelesaikan masalah,pelayanan sangat buruk tdk bsa menyelesaikan masalah,"['pelayanan', 'sangat', 'buruk', 'tdk', 'bsa', 'menyelesaikan', 'masalah']",layan sangat buruk tdk bsa selesai masalah
Aprilia Rahmawati Jamil,beli paket langsung dari aplikasi dana tertera 100 ribu 35gb tpi yang masuk di nomor cuman 15gb dan pihak dana tidak mengantikan apa yang membuat kami dirugikan ini😭,1,7/5/2025 10:46,beli paket langsung dari aplikasi dana tertera 100 ribu 35gb tpi yang masuk di nomor cuman 15gb dan pihak dana tidak mengantikan apa yang membuat kami dirugikan ini😭,beli paket langsung dari aplikasi dana tertera ribu gb tpi yang masuk di nomor cuman gb dan pihak dana tidak mengantikan apa yang membuat kami dirugikan ini,beli paket langsung aplikasi dana tertera ribu gb tpi masuk nomor cuman gb pihak dana mengantikan apa membuat dirugikan,"['beli', 'paket', 'langsung', 'aplikasi', 'dana', 'tertera', 'ribu', 'gb', 'tpi', 'masuk', 'nomor', 'cuman', 'gb', 'pihak', 'dana', 'mengantikan', 'apa', 'membuat', 'dirugikan']",beli paket langsung aplikasi dana tera ribu gb tpi masuk nomor cuman gb pihak dana anti apa buat rugi
Aa Azka,tolong dana cicil nya dimunculkan karna saya pemakai dana dah lbih dari 5tahun dan premium,4,7/5/2025 10:46,tolong dana cicil nya dimunculkan karna saya pemakai dana dah lbih dari 5tahun dan premium,tolong dana cicil nya dimunculkan karna saya pemakai dana dah lbih dari tahun dan premium,dana cicil nya dimunculkan karna pemakai dana dah lbih tahun premium,"['dana', 'cicil', 'nya', 'dimunculkan', 'karna', 'pemakai', 'dana', 'dah', 'lbih', 'tahun', 'premium']",dana cicil nya muncul karna pakai dana dah lbih tahun premium
Ambi Rafka,sangat memuaskan kan,5,7/5/2025 10:45,sangat memuaskan kan,sangat memuaskan kan,sangat memuaskan kan,"['sangat', 'memuaskan', 'kan']",sangat muas kan
piiyon 05d,akun terlalu sering di bobol orang yang gak bertanggung jawab,1,7/5/2025 10:44,akun terlalu sering di bobol orang yang gak bertanggung jawab,akun terlalu sering di bobol orang yang gak bertanggung jawab,akun terlalu sering bobol orang gak bertanggung jawab,"['akun', 'terlalu', 'sering', 'bobol', 'orang', 'gak', 'bertanggung', 'jawab']",akun terlalu sering bobol orang gak tanggung jawab
Adhe Basah,uang hilang otomatis tanpa SE ijin pengguna trus setelah laporan Diana malah di suruh lapor polisi lagi bukan nya ngasih solusi malah nambah biaya aplikasi gak jelas,1,7/5/2025 10:44,uang hilang otomatis tanpa se ijin pengguna trus setelah laporan diana malah di suruh lapor polisi lagi bukan nya ngasih solusi malah nambah biaya aplikasi gak jelas,uang hilang otomatis tanpa se ijin pengguna trus setelah laporan diana malah di suruh lapor polisi lagi bukan nya ngasih solusi malah nambah biaya aplikasi gak jelas,uang hilang otomatis se ijin pengguna trus laporan diana malah suruh lapor polisi bukan nya ngasih solusi malah nambah biaya aplikasi gak jelas,"['uang', 'hilang', 'otomatis', 'se', 'ijin', 'pengguna', 'trus', 'laporan', 'diana', 'malah', 'suruh', 'lapor', 'polisi', 'bukan', 'nya', 'ngasih', 'solusi', 'malah', 'nambah', 'biaya', 'aplikasi', 'gak', 'jelas']",uang hilang otomatis se ijin guna trus lapor ana malah suruh lapor polisi bukan nya ngasih solusi malah nambah biaya aplikasi gak jelas
Meliana Melin,sangat bermanfaat,5,7/5/2025 10:43,sangat bermanfaat,sangat bermanfaat,sangat bermanfaat,"['sangat', 'bermanfaat']",sangat manfaat
Hilya Supplier,sangat membantu pembayaran via online,5,7/5/2025 10:43,sangat membantu pembayaran via online,sangat membantu pembayaran via online,sangat membantu pembayaran via online,"['sangat', 'membantu', 'pembayaran', 'via', 'online']",sangat bantu bayar via online
Rudi -,memuaskan,5,7/5/2025 10:42,memuaskan,memuaskan,memuaskan,['memuaskan'],muas
nanda widya,gimana nih kak solusinya saya baru aja isi saldo dana 100.000 tadi jam 10 pagi kenapa kok mau isi token PLN gak bisa?,3,7/5/2025 10:39,gimana nih kak solusinya saya baru aja isi saldo dana 100.000 tadi jam 10 pagi kenapa kok mau isi token pln gak bisa?,gimana nih kak solusinya saya baru aja isi saldo dana tadi jam pagi kenapa kok mau isi token pln gak bisa,gimana nih kak solusinya baru aja isi saldo dana tadi jam pagi kok mau isi token pln gak,"['gimana', 'nih', 'kak', 'solusinya', 'baru', 'aja', 'isi', 'saldo', 'dana', 'tadi', 'jam', 'pagi', 'kok', 'mau', 'isi', 'token', 'pln', 'gak']",gimana nih kak solusi baru aja isi saldo dana tadi jam pagi kok mau isi token pln gak
Heri Gedek,sangat membantu,5,7/5/2025 10:37,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",sangat bantu
Aqilla Zahwa1234,"aplikasi dana sangat membantu transaksi ku setiap hari, makin mudah cepat dan sangat membantu",5,7/5/2025 10:37,"aplikasi dana sangat membantu transaksi ku setiap hari, makin mudah cepat dan sangat membantu",aplikasi dana sangat membantu transaksi ku setiap hari makin mudah cepat dan sangat membantu,aplikasi dana sangat membantu transaksi ku hari makin mudah cepat sangat membantu,"['aplikasi', 'dana', 'sangat', 'membantu', 'transaksi', 'ku', 'hari', 'makin', 'mudah', 'cepat', 'sangat', 'membantu']",aplikasi dana sangat bantu transaksi ku hari makin mudah cepat sangat bantu
Jendral A Yani,buat byr listrik harus nunggu waktu 5 menit,4,7/5/2025 10:33,buat byr listrik harus nunggu waktu 5 menit,buat byr listrik harus nunggu waktu menit,buat byr listrik nunggu waktu menit,"['buat', 'byr', 'listrik', 'nunggu', 'waktu', 'menit']",buat byr listrik nunggu waktu menit
padilah Ahmad,"setiap kali saya nyimpan uang di apk ini,pasti aja ada yang bobol,apk apaan ini keamanan nya kurang,masukan dari saya,kemanan nya di perketat lagi.",1,7/5/2025 10:32,"setiap kali saya nyimpan uang di apk ini,pasti aja ada yang bobol,apk apaan ini keamanan nya kurang,masukan dari saya,kemanan nya di perketat lagi.",setiap kali saya nyimpan uang di apk inipasti aja ada yang bobolapk apaan ini keamanan nya kurangmasukan dari sayakemanan nya di perketat lagi,kali nyimpan uang apk inipasti aja bobolapk apaan keamanan nya kurangmasukan sayakemanan nya perketat,"['kali', 'nyimpan', 'uang', 'apk', 'inipasti', 'aja', 'bobolapk', 'apaan', 'keamanan', 'nya', 'kurangmasukan', 'sayakemanan', 'nya', 'perketat']",kali nyimpan uang apk inipasti aja bobolapk apa aman nya kurangmasukan sayakemanan nya ketat
ira Laela,"sangat jelek,uang saya tiba' hilang,dan ga bisa kembali lagi.jngn ada yang pke apk ini lagi!!!! tidak aman sama sekali.",1,7/5/2025 10:27,"sangat jelek,uang saya tiba' hilang,dan ga bisa kembali lagi.jngn ada yang pke apk ini lagi!!!! tidak aman sama sekali.",sangat jelekuang saya tiba hilangdan ga bisa kembali lagijngn ada yang pke apk ini lagi tidak aman sama sekali,sangat jelekuang tiba hilangdan ga lagijngn pke apk aman sama sekali,"['sangat', 'jelekuang', 'tiba', 'hilangdan', 'ga', 'lagijngn', 'pke', 'apk', 'aman', 'sama', 'sekali']",sangat jelekuang tiba hilangdan ga lagijngn pke apk aman sama sekali
Silvi Sil,jadi ginih saya TF ke suami saya sebesar 1.6jy teryata dana suami GK bisa di buka kerna kartu ny udh hilang tapi biasa ny cuma mask in sandi sama muka aj baru kali ini minta kode otp sedangkan di dalam dana itu ada uang yang saya TF dan uang suami saya kita bingung mau laporan kmn terpaksa kita kehilangan uang 1.6jt itu tdi kita coba ngurus kartu ke XL teryata udh GK bisa kecewa bratt kita mau lapor ya lapor Keman udh baling benr pkek bank jelas kantor ny bisa lapor kecewa bgttttt,1,7/5/2025 10:26,jadi ginih saya tf ke suami saya sebesar 1.6jy teryata dana suami gk bisa di buka kerna kartu ny udh hilang tapi biasa ny cuma mask in sandi sama muka aj baru kali ini minta kode otp sedangkan di dalam dana itu ada uang yang saya tf dan uang suami saya kita bingung mau laporan kmn terpaksa kita kehilangan uang 1.6jt itu tdi kita coba ngurus kartu ke xl teryata udh gk bisa kecewa bratt kita mau lapor ya lapor keman udh baling benr pkek bank jelas kantor ny bisa lapor kecewa bgttttt,jadi ginih saya tf ke suami saya sebesar jy teryata dana suami gk bisa di buka kerna kartu ny udh hilang tapi biasa ny cuma mask in sandi sama muka aj baru kali ini minta kode otp sedangkan di dalam dana itu ada uang yang saya tf dan uang suami saya kita bingung mau laporan kmn terpaksa kita kehilangan uang jt itu tdi kita coba ngurus kartu ke xl teryata udh gk bisa kecewa bratt kita mau lapor ya lapor keman udh baling benr pkek bank jelas kantor ny bisa lapor kecewa bgttttt,jadi ginih tf suami sebesar jy teryata dana suami gk buka kerna kartu ny udh hilang biasa ny cuma mask in sandi sama muka aj baru kali minta kode otp dana uang tf uang suami bingung mau laporan kmn terpaksa kehilangan uang jt tdi coba ngurus kartu xl teryata udh gk kecewa bratt mau lapor lapor keman udh baling benr pkek bank jelas kantor ny lapor kecewa bgttttt,"['jadi', 'ginih', 'tf', 'suami', 'sebesar', 'jy', 'teryata', 'dana', 'suami', 'gk', 'buka', 'kerna', 'kartu', 'ny', 'udh', 'hilang', 'biasa', 'ny', 'cuma', 'mask', 'in', 'sandi', 'sama', 'muka', 'aj', 'baru', 'kali', 'minta', 'kode', 'otp', 'dana', 'uang', 'tf', 'uang', 'suami', 'bingung', 'mau', 'laporan', 'kmn', 'terpaksa', 'kehilangan', 'uang', 'jt', 'tdi', 'coba', 'ngurus', 'kartu', 'xl', 'teryata', 'udh', 'gk', 'kecewa', 'bratt', 'mau', 'lapor', 'lapor', 'keman', 'udh', 'baling', 'benr', 'pkek', 'bank', 'jelas', 'kantor', 'ny', 'lapor', 'kecewa', 'bgttttt']",jadi ginih tf suami besar jy teryata dana suami gk buka kerna kartu ny udh hilang biasa ny cuma mask in sandi sama muka aj baru kali minta kode otp dana uang tf uang suami bingung mau lapor kmn paksa hilang uang jt tdi coba ngurus kartu xl teryata udh gk kecewa bratt mau lapor lapor keman udh baling benr pkek bank jelas kantor ny lapor kecewa bgttttt
